chara,conv,img
,1-1start,
コタロウ,ゲームのやり方を説明するよ\n忍者のいる青マスがスタート、黄色のマスがゴールだ\n,
コタロウ,矢印をクリックしたまま「起動の術」のところに持っていくと\n枠の中に矢印が入るよ\n,
,1-1play,
コタロウ,「マップに戻る」ボタンを押しておともをさがしにいこう\n次は1-1へ行こう\n,
,1-1 終わり,
,1-2 start,
コタロウ,ジグザグな道だなぁ\n,
,1-2play,
コタロウ,「マップに戻る」ボタンを押そう\n次は1-2へ行こう\n,
,1-2終わり,
,1-3 start,
コタロウ,連チャンの術を覚えよう\n連チャンの術を使うと同じ動きをくり返せる\n,
コタロウ,「連チャンの術」と「おわり」で動きをはさもう\n数字クリックでくり返し回数が増やせるよ\n,
,1-3 play,
チマキ,ぼくはたぬきの チマキ ！よろしくね！\n,
コタロウ,たぬきのチマキがおともになった！\n次はきつねの村 2-1へ行こう\n,
,1-3 終わり,
,1-4 start,
コタロウ,一つ目小僧をめざそう\n,
,1-4 play,
ナレ,一つ目小僧をたおした\n,
,1-4 終わり,
