chara,conv,img
,3-1 start,
家田,あざらしの湖の近くは氷のゆかがあるらしい。\n,
イナリ,氷のゆかに乗ったらそのまままっすぐすべって止まれないぜ。\nそのままかべにぶつかるとミスになるから気をつけろよ。\n,
チマキ,木にぶつかるのはだいじょうぶだよ～。\n,
,3-1 play,
家田,あざらしの湖についた。\n,
イナリ,おれらの仲間はむこうにいるはずだぜ。\n,
,次のステージへ,
,3-1 終わり,
,3-2 start,
,3-2 play,
イナリ,お、いたぜ。\n,
家田,あざらしさーん！\n,
あざらし,およよ、イナリたちがいるってことはあなたが今回のわせ忍なんやね。\n,
,あざらしが光りだした…！\n,
あざらし,あたしの名前は スリミ 。いっしょにがんばろな。\n,
,次のステージへ,
スリミ,あたしのかわいい子どもたちのためにもはやく行きましょ。\n,
家田,子どもたちって言うけど、ユーレイにも子どもがいるの？\n,
イナリ,まあ、1500年前のたたかいではまだおれらはユーレイじゃなかったからな。\n,
スリミ,初代わせ忍から力をもらったことで死んだ後にユーレイになったんや。\nせやからここに住んでるアザラシたちは\nみーんな生きてたころのあたしの子孫やねんよ。\n,
,3-2 終わり,
,3-3 start,
,3-3 play,
スリミ,カッパさん、いま助けんで！\n,
,ポコスカ　ポコスカ　ピカー\n,
スリミ,これでもうだいじょうぶや。これからも湖のこと、おねがいね。\n,
,あざらしの湖　クリア！\n,
家田,次はふくろうの林にいこう。\n,
スリミ,りくの方に行くなんてひさびさやわ～。\n,
,3-3 終わり,
