chara,conv,img
,4-1 start,
コタロウ,ふくろうの林には動くゆかがあるらしい。\n,
スリミ,乗ったら矢じるしの方向に1マス動くねん。\n,
チマキ,自分で決めた動きは、動くゆかで動いたあとから始まるよ。\n,
,4-1 play,
コタロウ,ふくろうの林についた。\n,
スリミ,普段歩かへんから、動くゆかは楽ちんやったわ。\n,
イナリ,おれらの仲間はむこうだ。まだまだ歩くぜ、スリミ。\n,
スリミ,ひぃ～、ちょっとは休もや～。\n,
,次へ,
,4-1 終わり,
,4-2 start,
,4-2 play,
スリミ,あ、やっと見つけたわぁ。\n,
コタロウ,ふくろうさーん！\n,
ふくろう,はじめまして、あなたがわせ忍様ですね。\n,
コタロウ,様なんてやめてよ、よろしくね！\n,
,ふくろうが光りだした…！\n,
ふくろう,わたしは ツクネ 。よろしくおねがいいたします、 コタロウ どの。\n,
コタロウ,様からどのになっただけじゃん…。\n,
イナリ,あきらめな、こいつマジメだからよ。\n,
チマキ,これで仲間がみんなそろったね！\n,
,次のステージへ,
,4-2 終わり,
,4-3 start,
コタロウ,ヤマタノオロチはこわいやつだけど、一つ目こぞうとかカッパはちがうよね。\n,
ツクネ,かれらも元々はこわい妖怪でしたよ。ですが初代わせ忍様が改心させ、\nそれからは動物たちとくらすようになりました。\n,
ツクネ,ただ、それでも妖怪たちだけでくらしたい方々もおりました。\n,
チマキ,そんな妖怪たちが住んでいるのが 「あやかしの山」 だよ。\n,
スリミ,ヤマタノオロチはその山のてっぺんにおるんよ。\n,
ツクネ,まずはこの林に住むてんぐ様をお助けしましょう！\n,
,4-3 play,
ツクネ,てんぐ様ぁー！\n,
,ポコスカ　ポコスカ　ピカー\n,
チマキ,これで妖怪たちはすべてすくったはずだよ。\n,
イナリ,いいや、あやかし山の妖怪たちがきっとまだ苦しんでる。\n,
スリミ,せやせや、はよ行ってあげな。\n,
ツクネ,行きましょう、あやかし山へ！\n,
,ふくろうの林　クリア！\n,
,4-3 終わり,
